Description	amt	prc
Фінансова підтримка громадських об’єднань інвалідів та ветеранів, заходи з відвідування військових поховань і військових пам’ятників та з відзначення Дня пам’яті та примирення, Дня перемоги над нацизмом у Другій світовій війні	81134.1	0.013401429
Компенсація підприємствам, установам, організаціям у межах середнього заробітку працівників, призваних на військову службу за призовом під час мобілізації, на особливий період за 2014-2015 роки	233100	-
Оздоровлення і відпочинок дітей, які потребують особливої уваги та підтримки, в дитячих оздоровчих таборах МДЦ "Артек" і ДЦ "Молода Гвардія" 	151885.9	0.736126377
Санаторно-курортне лікування ветеранів війни, осіб, на яких поширюється чинність законів України "Про статус ветеранів війни, гарантії їх соціального захисту", "Про жертви нацистських переслідувань" та інвалідів	130707	0.178869701
Надання щомісячної адресної допомоги внутрішньо переміщеним особам для покриття витрат на проживання, в тому числі на оплату житлово-комунальних послуг	3263665	0.032248907
Фінансова підтримка заходів із залучення до роботи членів малозабезпечених сімей та внутрішньо переміщених осіб в умовах експерименту	20000	-
Виплата матеріальної допомоги військовослужбовцям, звільненим з  військової строкової служби	40993	1.084112945
Компенсація роботодавцю частини фактичних витрат, пов’язаних зі сплатою єдиного внеску на загальнообов’язкове державне соціальне страхування	1400	0
Модернізація системи соціальної підтримки населення України	471112.6	10.58876483
Соціальна підтримка громад	11424	-
Інвестиції на підтримку соціального розвитку територіальних громад	17463.4	-
Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю	411860	0.783665737
Прикладні дослідження та розробки, підготовка наукових кадрів у сфері промислової безпеки та охорони праці	8782.6	0.811233581
Керівництво та управління у сфері соціального захисту ветеранів війни та учасників антитерористичної операції	19965	0.476674129
Заходи із психологічної реабілітації, соціальної та професійної адаптації учасників антитерористичної операції та забезпечення постраждалих учасників антитерористичної операції санаторно-курортним лікуванням	107623.8	0.240660773
