Description	amt	prc
Підготовка військових фахівців у вищих навчальних закладах, підвищення кваліфікації та перепідготовка військових фахівців і державних службовців, початкова військова підготовка та патріотичне виховання молоді	2154744.8	0.083976291
Розвиток озброєння та військової техніки Збройних Сил України	6471195.2	0.121761741
Будівництво (придбання) житла для військовослужбовців Збройних Сил України	751022.3	0.177314634
Утилізація боєприпасів, рідинних компонентів ракетного палива, озброєння, військової техніки та іншого військового майна, забезпечення живучості та вибухопожежобезпеки арсеналів, баз і складів Збройних Сил України	140827.4	0.847711579
Видатки для Міністерства оборони України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави	527900	-
Загальне керівництво та управління у сфері освіти і науки	75379.6	-0.776695861
Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти	12664.2	185.4337714
Підготовка кадрів у професійно-технічних навчальних закладах за професіями загальнодержавного значення	119600.8	-
Дослідження, наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами та державним замовленням, підготовка наукових кадрів, фінансова підтримка преси, розвитку наукової інфраструктури, наукових об'єктів, що становлять національне надбання, забезпечення діяльності Державного фонду фундаментальних досліджень	864043.2	0.240677214
Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів	22939.4	-0.00164503
Надання освіти у загальноосвітніх школах соціальної реабілітації, загальноосвітніх ліцеях-інтернатах, гімназіях-інтернатах з посиленою військово-фізичною підготовкою та інших загальноосвітніх навчальних закладах державної форми власності 	140814.3	0.281723585
Забезпечення діяльності Національного центру «Мала академія наук України», надання позашкільної освіти державними позашкільними навчальними закладами, заходи з позашкільної роботи	89238.8	0.811786771
Підготовка робітничих кадрів у професійно-технічних навчальних закладах соціальної реабілітації та адаптації, методичне забезпечення закладів професійно-технічної освіти	192277.4	0.513998295
Підготовка кадрів вищими навчальними закладами І і ІІ рівнів акредитації та забезпечення діяльності їх баз практики	4708344.6	-0.037626452
Підготовка кадрів вищими навчальними закладами ІІІ і ІV рівнів акредитації та забезпечення діяльності їх баз практики	19531459.5	-0.023936039
Здійснення методичного та матеріально-технічного забезпечення діяльності навчальних закладів 	495671.5	0.404849133
Проведення всеукраїнських та міжнародних олімпіад у сфері освіти, всеукраїнського конкурсу "Учитель року"	4000	0.368437322
Виплата академічних стипендій студентам (курсантам) вищих навчальних закладів	3985722.5	-
Пільговий проїзд студентів вищих навчальних закладів і учнів професійно-технічних училищ у залізничному, автомобільному та водному транспорті	18000	0
Підвищення кваліфікації науково-педагогічних працівників, керівних працівників і спеціалістів харчової, переробної промисловості та агропромислового комплексу, медичних та фармацевтичних кадрів	33687.7	0.134729995
Підготовка кадрів Київським національним університетом імені Тараса Шевченка	1145348	0.125511001
Дослідження, наукові та науково-технічні розробки, проведення наукових заходів Київським національним університетом імені Тараса Шевченка, фінансова підтримка наукових об’єктів, що становлять національне надбання	113473.8	0.198065208
Фізична і спортивна підготовка учнівської та студентської молоді	82055.8	0.621022255
Виконання зобов'язань України у сфері міжнародного науково-технічного співробітництва	39312.5	1.950781393
Дослідження на антарктичній станції "Академік Вернадський"	59009	0.084360242
Здійснення зовнішнього оцінювання та моніторинг якості освіти Українським центром оцінювання якості освіти та його регіональними підрозділами	206400.5	0.224019015
Державна атестація наукових і науково-педагогічних кадрів вищої кваліфікації, ліцензування, атестація та акредитація навчальних закладів	1200	-0.744538756
Виконання зобов’язань України у Рамковій програмі Європейського Союзу з наукових досліджень та інновацій "Горизонт 2020"	312214.4	0.797940509
Здійснення державного нагляду за діяльністю навчальних закладів	7853.5	0.559918601
Освітня субвенція з державного бюджету місцевим бюджетам	52593109.7	0.181535909
Субвенція з державного бюджету місцевим бюджетам на модернізацію та оновлення матеріально-технічної бази професійно-технічних навчальних закладів 	50000	0.241742541
Субвенція з державного бюджету місцевим бюджетам на надання державної підтримки особам з особливими освітніми потребами	209458.3	-
Керівництво та управління у сфері охорони здоров'я	58175.1	0.65426112
Дослідження, наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням, підготовка та підвищення кваліфікації наукових кадрів у сфері охорони здоров'я, фінансова підтримка розвитку наукової інфраструктури та об’єктів, що становлять національне надбання	118164.3	0.259461253
Проведення епідеміологічного нагляду (спостереження), діяльність лабораторних підрозділів Центру громадського здоров'я та заходи боротьби з епідеміями	1472229.3	0.266602904
Підготовка і підвищення кваліфікації медичних та фармацевтичних, наукових та науково-педагогічних кадрів вищими навчальними закладами ІІІ і ІV рівнів акредитації 	3772638	0.275419954
Підвищення кваліфікації медичних та фармацевтичних кадрів  та підготовка наукових і науково-педагогічних кадрів у сфері охорони здоров'я, підготовка та підвищення кваліфікації осіб з надання домедичної допомоги	353569.8	0.350671553
Методичне забезпечення діяльності медичних (фармацевтичних) вищих навчальних закладів та закладів післядипломної освіти	2008.6	0.408803699
Спеціалізована та високоспеціалізована медична допомога, що надається загальнодержавними закладами охорони здоров'я	877828.5	-0.09358945
Підготовка медичних і фармацевтичних кадрів вищими навчальними закладами І і ІІ рівнів акредитації	66033.5	0.241156859
Діагностика і лікування захворювань  із впровадженням експериментальних та нових медичних технологій у закладах охорони здоров'я науково-дослідних установ та  вищих навчальних медичних закладах Міністерства охорони здоров'я України	1167041.4	0.297995255
Санаторне лікування хворих на туберкульоз та дітей і підлітків з соматичними захворюваннями	391209.9	0.20423226
Спеціалізована консультативна амбулаторно-поліклінічна та стоматологічна допомога, що надається вищими навчальними закладами, науково-дослідними установами та загальнодержавними закладами охорони здоров'я	133694.9	0.172216247
Виконання боргових зобов'язань за кредитами, залученими ДП "Укрмедпостач" під державні гарантії, для реалізації інвестиційного проекту, оплата податкових зобов’язань (з урахуванням штрафних санкцій), що виникли в рамках реалізації інвестиційного проекту	380802.4	0.069961889
Організація і регулювання діяльності установ та окремі заходи у системі охорони здоров'я	188759.4	0.143837861
Лікування громадян України за кордоном	203948.9	-0.473604617
Забезпечення медичних заходів окремих державних програм та комплексних заходів програмного характеру	5949019	0.5060913
Функціонування Національної наукової медичної бібліотеки, збереження та популяризація історії медицини	32917.3	0.358503501
Заходи із реабілітації хворих на дитячий церебральний параліч у Міжнародній клініці відновного лікування 	11154	0.001054904
Поліпшення охорони здоров`я на службі у людей	150000	12.91219226
Будівництво сучасного лікувально-діагностичного комплексу Національної дитячої спеціалізованої лікарні «Охматдит»	380000	0.042842375
Добудова лікувального корпусу Державного закладу "Прикарпатський центр репродукції людини на вул. Чорновола, 51-Г, в м. Івано-Франківську"  	65432	-
Покращення якості променевої терапії при лікуванні онкологічних захворювань в Національному інституті раку	3360	-
Запровадження медичної інформаційної системи в Національному інституті раку	20295	-
Реконструкція і розширення Національного інституту раку 	124211	-
Керівництво та управління у сфері лікарських засобів та контролю за наркотиками	78539.2	0.628448855
Субвенція з державного бюджету місцевим бюджетам на придбання витратних матеріалів для закладів охорони здоров'я та лікарських засобів для інгаляційної анестезії	18972.6	0.029156812
Субвенція з державного бюджету місцевим бюджетам на придбання медикаментів та виробів медичного призначення для забезпечення швидкої медичної допомоги	137992.3	0.013586068
Медична субвенція з державного бюджету місцевим бюджетам	55540108.4	0.249954824
Субвенція з державного бюджету місцевим бюджетам на придбання ангіографічного обладнання	150000	-
Субвенція з державного бюджету місцевим бюджетам на відшкодування вартості лікарських засобів для лікування окремих захворювань	500000	-
Субвенція з державного бюджету місцевим бюджетам на реформування регіональних систем охорони здоров’я для здійснення  заходів з виконання спільного з Міжнародним банком реконструкції та розвитку проекту "Поліпшення охорони здоров'я на службі у людей"	500000	1.782183161
Загальне керівництво та управління у сфері екології та природних ресурсів	70080.4	0.762394597
Прикладні наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері природоохоронної діяльності, фінансова підтримка підготовки наукових кадрів	25745.6	-0.02956882
Підвищення кваліфікації та перепідготовка у сфері екології та природних ресурсів, підготовка наукових та науково-педагогічних кадрів	23653.1	0.708917952
Збереження природно-заповідного фонду	257649.2	0.650366265
Здійснення природоохоронних заходів	360290.6	1.522038052
Здійснення заходів щодо реалізації пріоритетів розвитку сфери охорони навколишнього природного середовища	1000	-0.988692368
Забезпечення діяльності Національного центру обліку викидів парникових газів	2076.7	0.188066458
Державна підтримка заходів, спрямованих на зменшення обсягів викидів (збільшення абсорбції) парникових газів, у тому числі на утеплення приміщень закладів соціального забезпечення, розвиток міжнародного співробітництва з питань зміни клімату	1000	-0.999179589
Керівництво та управління у сфері геологічного вивчення та використання надр	37270	0.776268813
Розвиток мінерально-сировинної бази	100000	0.452932963
Керівництво та управління у сфері екологічного контролю	242425.6	0.627243207
Керівництво та управління у сфері радіаційного захисту населення	815	0.183551274
Керівництво та управління у сфері водного господарства	18754.9	0.769709316
Прикладні наукові та науково-технічні розробки, виконання робіт за державним замовленням у сфері розвитку водного господарства	196.1	0.16587396
Підвищення кваліфікації кадрів у сфері водного господарства	5673.4	0.349131554
Експлуатація державного водогосподарського комплексу та управління водними ресурсами	2398777.3	0.022052153
Захист від шкідливої дії вод сільських населених пунктів та сільськогосподарських угідь, в тому числі в басейні р. Тиса у Закарпатській області	200	-0.984066642
Розвиток та поліпшення екологічного стану зрошуваних та осушених систем	30000	-
Реконструкція гідротехнічних споруд захисних масивів дніпровських водосховищ	37395	0.181934267
Керівництво та управління діяльністю у зоні відчуження	8453.3	0.416416324
Внески України до Чорнобильського фонду "Укриття" та до рахунку ядерної безпеки ЄБРР	866989.6	0.158737601
Радіологічний захист населення та екологічне оздоровлення території, що зазнала радіоактивного забруднення	2795.5	0.313127458
Збереження етнокультурної спадщини регіонів, постраждалих від наслідків Чорнобильської катастрофи	4616.1	0.28621461
Виконання робіт у сфері поводження з радіоактивними відходами неядерного циклу, будівництво комплексу "Вектор" та експлуатація його об'єктів	56433.5	0.007008553
Підтримка екологічно безпечного стану у зонах відчуження і безумовного (обов'язкового) відселення	348016.6	0.153925634
Підтримка у безпечному стані енергоблоків та об'єкта "Укриття" та заходи щодо підготовки до зняття з експлуатації Чорнобильської АЕС	898310	-0.097999772
Керівництво та управління у сфері соціальної політики	136140.4	0.660610292
Прикладні наукові та науково-технічні розробки, підготовка наукових кадрів у сфері соціальної політики	13614.1	0.272718977
Підвищення кваліфікації працівників органів соціального захисту	1760.3	-0.059611104
Спеціалізована протезно-ортопедична та медично-реабілітаційна допомога інвалідам у клініці Науково-дослідного інституту протезування, протезобудування та відновлення працездатності	19807.8	0.35798024
Створення і програмно-технічне забезпечення системи інформаційно-аналітичної підтримки, інформаційно-методичне забезпечення та виготовлення бланків посвідчень і нагрудних знаків для системи соціального захисту	37623	3.508522886
Розселення та облаштування депортованих кримських татар та осіб інших національностей, які були  депортовані з території України	35340	-0.191043363
Заходи із соціального захисту дітей, сімей, жінок та інших найбільш вразливих категорій населення	91682.7	1.240607705
Щорічна разова грошова допомога ветеранам війни і жертвам нацистських переслідувань та соціальна допомога особам, які мають особливі та особливі трудові заслуги перед Батьківщиною	1029952.8	-0.012277517
Довічні державні стипендії 	3805.5	0.216035727
Виплата соціальних стипендій студентам (курсантам) вищих навчальних закладів	992969	-
Соціальний захист громадян, які постраждали внаслідок Чорнобильської катастрофи	1919662.5	0.029847796
